timestamp,temperature,vibration,pressure,rolling_avg_temp,rate_of_change_vibration,time_since_last_maintenance,maintenance_required
2023-01-01 04:00:00,25.2,0.03,1023.0,25.0,0.002,12,0
2023-01-01 05:00:00,25.7,0.04,1023.1,25.1,0.003,12,1
2023-01-01 06:00:00,25.5,0.03,1023.2,25.2,0.002,12,0
2023-01-01 07:00:00,25.4,0.05,1023.1,25.0,0.004,12,0
2023-01-01 08:00:00,25.6,0.03,1023.3,25.1,0.002,12,1
2023-01-01 09:00:00,25.3,0.04,1023.0,25.2,0.003,12,0
2023-01-01 10:00:00,25.8,0.05,1023.2,25.3,0.004,12,0
2023-01-01 11:00:00,25.9,0.06,1023.1,25.2,0.005,12,1
2023-01-01 12:00:00,25.7,0.04,1023.0,25.1,0.003,12,0
2023-01-01 13:00:00,25.5,0.03,1023.3,25.2,0.002,12,0
...